Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance
2024,Sunday,July,7,6:00 PM,Regular season,Seattle Storm,Chicago Sky,Climate Pledge Arena,Seattle,WA,11283
2024,Sunday,July,7,7:00 PM,Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,11618
2024,Tuesday,July,9,10:00 PM,Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,9533
2024,Wednesday,July,10,11:00 AM,Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,8910
2024,Wednesday,July,10,12:00 PM,Regular season,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Wednesday,July,10,12:00 PM,Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,9025
2024,Wednesday,July,10,3:00 PM,Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,12500
2024,Wednesday,July,10,11:00 AM,Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,11601
2024,Thursday,July,11,7:00 PM,Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,17758
2024,Friday,July,12,3:00 AM,Regular season,Atlanta Dream,Las Vegas Aces,Gateway Center Arena @ College Park,Atlanta,GA,3344
2024,Friday,July,12,3:00 AM,Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Friday,July,12,10:00 PM,Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,8320
2024,Saturday,July,13,1:00 PM,Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,9025
2024,Saturday,July,13,11:00 AM,Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,6251
2024,Sunday,July,14,1:00 PM,Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,8910
2024,Sunday,July,14,3:00 PM,Regular season,Washington Mystics,Las Vegas Aces,Entertainment and Sports Arena,Washington,DC,4200
2024,Sunday,July,14,6:00 PM,Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,10036
2024,Sunday,July,14,4:00 PM,Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,18978
2024,Tuesday,July,16,7:00 AM,Regular season,Washington Mystics,Phoenix Mercury,Capital One Arena,Washington,DC,12586
2024,Tuesday,July,16,11:00 AM,Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,18724
2024,Tuesday,July,16,7:00 PM,Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,13694
2024,Tuesday,July,16,10:00 PM,Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,10396
2024,Wednesday,July,17,1:00 PM,Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,15013
2024,Wednesday,July,17,3:00 AM,Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,6251
2024,Thursday,August,15,8:00 PM,Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,9025
2024,Thursday,August,15,8:00 PM,Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,7224
2024,Thursday,August,15,9:00 PM,Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,11120
2024,Friday,August,16,3:00 AM,Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,3260
2024,Friday,August,16,3:00 AM,Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Friday,August,16,5:00 AM,Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,6191
2024,Saturday,August,17,2:00 PM,Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,4200
2024,Saturday,August,17,4:00 PM,Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,10397
2024,Saturday,August,17,5:00 PM,Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,16551
2024,Sunday,August,18,3:00 PM,Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,3330
2024,Sunday,August,18,6:00 PM,Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10311
2024,Sunday,August,18,11:00 AM,Regular season,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Sunday,August,18,9:00 PM,Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,14267
2024,Tuesday,August,20,7:00 PM,Regular season,Connecticut Sun,Los Angeles Sparks,TD Garden,Boston,MA,19125
2024,Tuesday,August,20,7:00 PM,Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,11455
2024,Tuesday,August,20,7:00 PM,Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,4200
2024,Wednesday,August,21,3:00 AM,Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3260
2024,Wednesday,August,21,5:00 AM,Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,10429
2024,Thursday,August,22,7:00 PM,Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,10986
2024,Friday,August,23,3:00 AM,Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3260
2024,Friday,August,23,3:00 AM,Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,8910
2024,Friday,August,23,3:00 AM,Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,4200
2024,Friday,August,23,5:00 AM,Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,9124
2024,Saturday,August,24,7:00 PM,Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,13098
2024,Saturday,August,24,8:00 PM,Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,19023
2024,Sunday,August,25,12:00 PM,Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,9025
2024,Sunday,August,25,4:00 PM,Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5925
2024,Monday,August,26,3:00 AM,Regular season,Atlanta Dream,Indiana Fever,State Farm Arena,Atlanta,GA,17608
2024,Monday,August,26,10:00 PM,Regular season,Phoenix Mercury,New York Liberty,Footprint Center,Phoenix,AZ,10299
2024,Monday,August,26,10:00 PM,Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,9535
2024,Tuesday,August,27,8:00 PM,Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,6251
2024,Wednesday,August,28,7:00 PM,Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Wednesday,August,28,8:00 PM,Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,8763
2024,Wednesday,August,28,10:00 PM,Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,10403
2024,Wednesday,August,28,10:00 PM,Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,9482
2024,Wednesday,August,28,10:00 PM,Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,9228
2024,Friday,August,30,3:00 AM,Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,9445
2024,Friday,August,30,3:00 AM,Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,5581
2024,Friday,August,30,10:00 PM,Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,10397
2024,Friday,August,30,10:00 PM,Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,15800
2024,Saturday,August,31,3:00 PM,Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,4200
2024,Sunday,September,1,1:00 PM,Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,8910
2024,Sunday,September,1,3:00 PM,Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,8421
2024,Sunday,September,1,4:00 PM,Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,6251
2024,Sunday,September,1,7:00 PM,Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,11165
2024,Sunday,September,1,4:00 PM,Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,13981
2024,Tuesday,September,3,7:00 PM,Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,7454
2024,Tuesday,September,3,8:00 PM,Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,5129
2024,Tuesday,September,3,10:00 PM,Regular season,Las Vegas Aces,Chicago Sky,T-Mobile Arena,Las Vegas,NV,18394
2024,Tuesday,September,3,10:00 PM,Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7639
2024,Wednesday,September,4,7:00 PM,Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,16645
2024,Thursday,September,5,7:00 PM,Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,10873
2024,Thursday,September,5,10:00 PM,Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,7709
2024,Friday,September,6,3:00 AM,Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,3260
2024,Friday,September,6,3:00 AM,Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,8910
2024,Friday,September,6,3:00 AM,Regular season,Indiana Fever,Minnesota Lynx,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Friday,September,6,5:00 AM,Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,9025
2024,Saturday,September,7,9:00 PM,Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,14066
2024,Sunday,September,8,3:00 PM,Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,4200
2024,Sunday,September,8,4:00 PM,Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Sunday,September,8,4:00 PM,Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,15393
2024,Sunday,September,8,6:00 PM,Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,8704
2024,Sunday,September,8,9:00 PM,Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,10627
2024,Tuesday,September,10,3:00 AM,Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,3260
2024,Tuesday,September,10,8:00 PM,Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,5157
2024,Tuesday,September,10,10:00 PM,Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,8253
2024,Wednesday,September,11,7:00 PM,Regular season,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Wednesday,September,11,8:00 PM,Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,7948
2024,Wednesday,September,11,10:00 PM,Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,9561
2024,Thursday,September,12,8:00 PM,Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,5384
2024,Friday,September,13,3:00 AM,Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3260
2024,Friday,September,13,3:00 AM,Regular season,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Friday,September,13,3:00 AM,Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,5728
2024,Friday,September,13,3:00 AM,Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,8810
2024,Friday,September,13,10:00 PM,Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,14190
2024,Sunday,September,15,3:00 PM,Regular season,Indiana Fever,Dallas Wings,Gainbridge Fieldhouse,Indianapolis,IN,17274
2024,Sunday,September,15,3:00 PM,Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,14246
2024,Sunday,September,15,3:00 PM,Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,4200
2024,Sunday,September,15,6:00 PM,Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,8577
2024,Sunday,September,15,6:00 PM,Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,10431
2024,Sunday,September,15,6:00 PM,Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,11301
2024,Tuesday,September,17,7:00 PM,Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,8174
2024,Tuesday,September,17,7:00 PM,Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200
2024,Tuesday,September,17,3:00 AM,Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,3355
2024,Tuesday,September,17,6:00 AM,Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,11294
2024,Tuesday,September,17,10:00 PM,Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,14298
2024,Thursday,September,19,7:00 PM,Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,8092
2024,Thursday,September,19,7:00 PM,Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,12721
2024,Thursday,September,19,7:00 PM,Regular season,Washington Mystics,Indiana Fever,Capital One Arena,Washington,DC,20711
2024,Thursday,September,19,8:00 PM,Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,7908
2024,Thursday,September,19,10:00 PM,Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10376
2024,Thursday,September,19,10:00 PM,Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,11333
2024,Saturday,July,20,4:00 AM,All star,Team WNBA,USAB Women's National Team,Footprint Center,Phoenix,AZ,16407
2024,Sunday,September,22,1:00 PM,First Round,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,12115
2024,Sunday,September,22,5:00 PM,First Round,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,8524
2024,Sunday,September,22,3:00 PM,First Round,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,8910
2024,Sunday,September,22,10:00 PM,First Round,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,10369
2024,Tuesday,September,24,3:00 AM,First Round,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,11003
2024,Tuesday,September,24,5:00 AM,First Round,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,10370
2024,Wednesday,September,25,5:00 AM,First Round,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,8769
2024,Wednesday,September,25,3:00 AM,First Round,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,8910
2024,Sunday,September,29,3:00 PM,Semifinals,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,14015
2024,Sunday,September,29,4:00 AM,Semifinals,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8506
2024,Friday,October,4,5:00 AM,Semifinals,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,10369
2024,Friday,October,4,3:00 AM,Semifinals,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,8268
2024,Tuesday,October,1,3:00 AM,Semifinals,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,14321
2024,Tuesday,October,1,5:00 AM,Semifinals,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8796
2024,Sunday,October,6,3:00 PM,Semifinals,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,10374
2024,Sunday,October,6,5:00 PM,Semifinals,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,7849
2024,Tuesday,October,8,8:00 PM,Semifinals,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8769
2024,Thursday,October,10,8:00 PM,Finals,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,17732
2024,Sunday,October,13,3:00 PM,Finals,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,18046
2024,Wednesday,October,16,8:00 PM,Finals,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,19521
2024,Friday,October,18,8:00 PM,Finals,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,19210
2024,Sunday,October,20,8:00 PM,Finals,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,18090
